district,year,murder
"DHANBAD RLY.",2012,0
DUMKA,2012,0
GIRIDIH,2012,0
GODDA,2012,0
HAZARIBAGH,2012,0
JAMSHEDPUR,2012,0
"JAMSHEDPUR RLY.",2012,0
JAMTARA,2012,0
KHUNTI,2012,0
KODERMA,2012,0
LATEHAR,2012,0
LOHARDAGGA,2012,0
PAKUR,2012,0
PALAMU,2012,0
RAMGARH,2012,0
RANCHI,2012,0
SAHEBGANJ,2012,0
SARAIKELA,2012,0
SIMDEGA,2012,0
"BANGALORE COMMR.",2012,0
"BANGALORE RURAL",2012,0
BELGAUM,2012,0
BELLARY,2012,0
BIDAR,2012,0
BIJAPUR,2012,0
CBPURA,2012,0
CHAMARAJNAGAR,2012,0
CHICKMAGALUR,2012,0
CHITRADURGA,2012,0
"DAKSHIN KANNADA",2012,0
DAVANAGERE,2012,0
"DHARWAD COMMR.",2012,0
GADAG,2012,0
GULBARGA,2012,0
HASSAN,2012,0
HAVERI,2012,0
KOLAR,2012,0
KOPPAL,2012,0
MANDYA,2012,0
"MANGALORE CITY",2012,0
"MYSORE COMMR.",2012,0
"MYSORE RURAL",2012,0
RAILWAYS,2012,0
RAMANAGAR,2012,0
SHIMOGA,2012,0
UDUPI,2012,0
"UTTAR KANNADA",2012,0
YADGIRI,2012,0
ALAPUZHA,2012,0
"ERNAKULAM COMMR.",2012,0
"ERNAKULAM RURAL",2012,0
IDUKKI,2012,0
KANNUR,2012,0
"KOLLAM COMMR.",2012,0
"KOLLAM RURAL",2012,0
KOTTAYAM,2012,0
"KOZHIKODE COMMR.",2012,0
"KOZHIKODE RURAL",2012,0
MALAPPURAM,2012,0
PALAKKAD,2012,0
PATHANAMTHITTA,2012,0
RAILWAYS,2012,0
"THRISSUR COMMR.",2012,0
"THRISSUR RURAL",2012,0
"TRIVANDRUM COMMR.",2012,0
"TRIVANDRUM RURAL",2012,0
WAYANADU,2012,0
ALIRAJPUR,2012,0
BHIND,2012,0
BHOPAL,2012,0
"BHOPAL RLY.",2012,0
BURHANPUR,2012,0
CHHATARPUR,2012,0
CHHINDWARA,2012,0
DATIYA,2012,0
GUNA,2012,0
HARDA,2012,0
"INDORE RLY.",2012,0
"JABALPUR RLY.",2012,0
MORENA,2012,0
RAJGARH,2012,0
REWA,2012,0
SHAJAPUR,2012,0
SHIVPURI,2012,0
SIDHI,2012,0
SIHORE,2012,0
SINGRAULI,2012,0
TIKAMGARH,2012,0
UMARIYA,2012,0
AHMEDNAGAR,2012,0
AKOLA,2012,0
"AMRAVATI COMMR.",2012,0
"AMRAVATI RURAL",2012,0
"AURANGABAD COMMR.",2012,0
"AURANGABAD RURAL",2012,0
BHANDARA,2012,0
BULDHANA,2012,0
DHULE,2012,0
GADCHIROLI,2012,0
HINGOLI,2012,0
JALGAON,2012,0
JALNA,2012,0
KOLHAPUR,2012,0
LATUR,2012,0
"MUMBAI COMMR.",2012,0
"MUMBAI RLY.",2012,0
"NAGPUR COMMR.",2012,0
"NAGPUR RLY.",2012,0
"NAGPUR RURAL",2012,0
NANDED,2012,0
NANDURBAR,2012,0
"NASIK COMMR.",2012,0
"NASIK RURAL",2012,0
"NAVI MUMBAI",2012,0
"PUNE COMMR.",2012,0
"PUNE RLY.",2012,0
"PUNE RURAL",2012,0
RAIGAD,2012,0
RATNAGIRI,2012,0
SANGLI,2012,0
SATARA,2012,0
SINDHUDURG,2012,0
"SOLAPUR COMMR.",2012,0
"THANE COMMR.",2012,0
BISHNUPUR,2012,0
CHANDEL,2012,0
CHURACHANDPUR,2012,0
CID,2012,0
"IMPHAL EAST",2012,0
"IMPHAL WEST",2012,0
SENAPATI,2012,0
TAMENGLONG,2012,0
THOUBAL,2012,0
UKHRUL,2012,0
"GARO HILLS EAST",2012,0
"GARO HILLS SOUTH",2012,0
"GARO HILLS WEST",2012,0
"JAINTIA HILLS",2012,0
"KHASI HILLS EAST",2012,0
"KHASI HILLS WEST",2012,0
RI-BHOI,2012,0
AIZAWL,2012,0
CHAMPHAI,2012,0
KOLASIB,2012,0
LAWNGTLAI,2012,0
LUNGLEI,2012,0
MAMIT,2012,0
SAIHA,2012,0
SERCHHIP,2012,0
DIMAPUR,2012,0
KIPHIRE,2012,0
KOHIMA,2012,0
LONGLENG,2012,0
MOKOKCHUNG,2012,0
MON,2012,0
PEREN,2012,0
PHEK,2012,0
TUENSANG,2012,0
WOKHA,2012,0
ZUNHEBOTO,2012,0
BALASORE,2012,0
BERHAMPUR,2012,0
BHADRAK,2012,0
BOLANGIR,2012,0
BOUDH,2012,0
CUTTACK,2012,0
"DCP BBSR",2012,0
"DCP CTC",2012,0
DEOGARH,2012,0
DHENKANAL,2012,0
GAJAPATI,2012,0
GANJAM,2012,0
JAGATSINGHPUR,2012,0
JAJPUR,2012,0
JHARSUGUDA,2012,0
KALAHANDI,2012,0
KANDHAMAL,2012,0
KENDRAPARA,2012,0
KEONJHAR,2012,0
KHURDA,2012,0
KORAPUT,2012,0
MALKANGIR,2012,0
MAYURBHANJ,2012,0
NAYAGARH,2012,0
NOWRANGPUR,2012,0
NUAPADA,2012,0
PURI,2012,0
RAYAGADA,2012,0
ROURKELA,2012,0
SAMBALPUR,2012,0
SONEPUR,2012,0
SRP(CUTTACK),2012,0
SRP(ROURKELA),2012,0
SUNDARGARH,2012,0
"AMRITSAR RURAL",2012,0
BARNALA,2012,0
BATALA,2012,0
BHATINDA,2012,0
"CP AMRITSAR",2012,0
"CP JALANDHAR",2012,0
"CP LUDHIANA",2012,0
FARIDKOT,2012,0
"FATEHGARH SAHIB",2012,0
FAZILKA,2012,0
FEROZPUR,2012,0
G.R.P,2012,0
GURDASPUR,2012,0
HOSHIARPUR,2012,0
"JALANDHAR RURAL",2012,0
KAPURTHALA,2012,0
KHANNA,2012,0
"LUDHIANA RURAL",2012,0
MANSA,2012,0
MOGA,2012,0
MUKTSAR,2012,0
PATHANKOT,2012,0
PATIALA,2012,0
ROPAR,2012,0
SANGRUR,2012,0
"SAS NGR",2012,0
"SBS NAGAR",2012,0
"TARN TARAN",2012,0
AJMER,2012,0
BANSWARA,2012,0
BARAN,2012,0
BARMER,2012,0
BHARATPUR,2012,0
BHILWARA,2012,0
BIKANER,2012,0
CHITTORGARH,2012,0
CHURU,2012,0
DHOLPUR,2012,0
DUNGARPUR,2012,0
G.R.P.AJMER,2012,0
G.R.P.JODHPUR,2012,0
GANGANAGAR,2012,0
HANUMANGARH,2012,0
"JAIPUR EAST",2012,0
"JAIPUR NORTH",2012,0
"JAIPUR WEST",2012,0
JAISALMER,2012,0
JALORE,2012,0
JHALAWAR,2012,0
JHUNJHUNU,2012,0
"JODHPUR EAST",2012,0
"JODHPUR WEST",2012,0
"KOTA CITY",2012,0
NAGAUR,2012,0
PRATAPGARH,2012,0
RAJSAMAND,2012,0
"SAWAI MADHOPUR",2012,0
SIKAR,2012,0
UDAIPUR,2012,0
EAST,2012,0
NORTH,2012,0
SOUTH,2012,0
WEST,2012,0
ARIYALUR,2012,0
CHENNAI,2012,0
"CHENNAI RLY.",2012,0
"COIMBATORE RURAL",2012,0
"COIMBATORE URBAN",2012,0
CUDDALORE,2012,0
DINDIGUL,2012,0
ERODE,2012,0
KANCHIPURAM,2012,0
KANYAKUMARI,2012,0
KARUR,2012,0
KRISHNAGIRI,2012,0
"MADURAI RURAL",2012,0
"MADURAI URBAN",2012,0
NAGAPATTINAM,2012,0
NAMAKKAL,2012,0
NILGIRIS,2012,0
PERAMBALUR,2012,0
PUDUKOTTAI,2012,0
RAMNATHAPURAM,2012,0
"SALEM RURAL",2012,0
"SALEM URBAN",2012,0
SIVAGANGAI,2012,0
THANJAVUR,2012,0
THENI,2012,0
"THIRUNELVELI RURAL",2012,0
"THIRUNELVELI URBAN",2012,0
THIRUVALLUR,2012,0
THIRUVANNAMALAI,2012,0
THIRUVARUR,2012,0
THOOTHUGUDI,2012,0
TIRUPPUR,2012,0
"TRICHY RLY.",2012,0
"TRICHY RURAL",2012,0
"TRICHY URBAN",2012,0
VELLORE,2012,0
VILLUPURAM,2012,0
VIRUDHUNAGAR,2012,0
DHALAI,2012,0
GOMATI,2012,0
GRP,2012,0
KHOWAI,2012,0
NORTH,2012,0
SIPAHIJALA,2012,0
SOUTH,2012,0
UNAKOTI,2012,0
WEST,2012,0
AGRA,2012,0
ALIGARH,2012,0
ALLAHABAD,2012,0
"AMBEDKAR NAGAR",2012,0
AURAIYA,2012,0
AZAMGARH,2012,0
BADAUN,2012,0
BAGHPAT,2012,0
BAHRAICH,2012,0
BALLIA,2012,0
BALRAMPUR,2012,0
BANDA,2012,0
BARABANKI,2012,0
BAREILLY,2012,0
BASTI,2012,0
"BHIM NAGAR",2012,0
BIJNOR,2012,0
BULANDSHAHAR,2012,0
CHANDOLI,2012,0
"CHITRAKOOT DHAM",2012,0
"CSM NAGAR",2012,0
DEORIA,2012,0
ETAH,2012,0
ETAWAH,2012,0
FAIZABAD,2012,0
FATEHGARH,2012,0
FATEHPUR,2012,0
FIROZABAD,2012,0
G.R.P.,2012,0
"GAUTAMBUDH NAGAR",2012,0
GHAZIABAD,2012,0
GHAZIPUR,2012,0
GONDA,2012,0
GORAKHPUR,2012,0
HAMIRPUR,2012,0
HARDOI,2012,0
HATHRAS,2012,0
J.P.NAGAR,2012,0
JALAUN,2012,0
JAUNPUR,2012,0
JHANSI,2012,0
KANNAUJ,2012,0
"KANPUR NAGAR",2012,0
"KANSHIRAM NAGAR",2012,0
KAUSHAMBI,2012,0
KHIRI,2012,0
"KUSHI NAGAR",2012,0
LALITPUR,2012,0
LUCKNOW,2012,0
MAHARAJGANJ,2012,0
MAHOBA,2012,0
MAINPURI,2012,0
MATHURA,2012,0
MAU,2012,0
MEERUT,2012,0
MIRZAPUR,2012,0
MORADABAD,2012,0
MUZAFFARNAGAR,2012,0
"PANCHSHIL NAGAR",2012,0
PILIBHIT,2012,0
"PRABUDDH NAGAR",2012,0
PRATAPGARH,2012,0
RAIBAREILLY,2012,0
"RAMABAI NAGAR",2012,0
RAMPUR,2012,0
SAHARANPUR,2012,0
"SANT KABIRNAGAR",2012,0
SHAHJAHANPUR,2012,0
SHRAWASTI,2012,0
SIDHARTHNAGAR,2012,0
SITAPUR,2012,0
SONBHADRA,2012,0
ST.RAVIDASNAGAR,2012,0
SULTANPUR,2012,0
UNNAO,2012,0
VARANASI,2012,0
ALMORA,2012,0
BAGESHWAR,2012,0
CHAMOLI,2012,0
CHAMPAWAT,2012,0
DEHRADUN,2012,0
HARIDWAR,2012,0
NAINITAL,2012,0
"PAURI GARHWAL",2012,0
PITHORAGARH,2012,0
"RUDRA PRAYAG",2012,0
"TEHRI GARHWAL",2012,0
"UDHAMSINGH NAGAR",2012,0
UTTARKASHI,2012,0
"24 PARGANAS NORTH",2012,0
"24 PARGANAS SOUTH",2012,0
ASANSOL,2012,0
BANKURA,2012,0
"BDN CP",2012,0
"BKP CP",2012,0
BURDWAN,2012,0
COOCHBEHAR,2012,0
"DAKSHIN DINAJPUR",2012,0
DARJEELING,2012,0
HOOGHLY,2012,0
HOWRAH,2012,0
"HOWRAH CITY",2012,0
"HOWRAH G.R.P.",2012,0
JALPAIGURI,2012,0
JHARGRAM,2012,0
"KHARAGPUR G.R.P.",2012,0
KOLKATA,2012,0
MALDA,2012,0
MURSHIDABAD,2012,0
NADIA,2012,0
"PASCHIM MIDNAPUR",2012,0
"PURAB MIDNAPUR",2012,0
PURULIA,2012,0
"SEALDAH G.R.P.",2012,0
"SILIGURI G.R.P.",2012,0
SILIGURI_PC,2012,0
"UTTAR DINAJPUR",2012,0
CAR,2012,0
NORTH,2012,0
SOUTH,2012,0
CHANDIGARH,2012,0
"D and N HAVELI",2012,0
DAMAN,2012,0
DIU,2012,0
CAW,2012,0
CENTRAL,2012,0
"CRIME BRANCH",2012,0
EAST,2012,0
EOW,2012,0
GRP(RLY),2012,0
"IGI AIRPORT",2012,0
"NEW DELHI",2012,0
NORTH,2012,0
NORTH-EAST,2012,0
NORTH-WEST,2012,0
OUTER,2012,0
SOUTH,2012,0
SOUTH-EAST,2012,0
SOUTH-WEST,2012,0
STF,2012,0
WEST,2012,0
LAKSHADWEEP,2012,0
KARAIKAL,2012,0
PUDUCHERRY,2012,0
REWA,2012,0
SHAJAPUR,2012,0
SHIVPURI,2012,0
SIDHI,2012,0
SIHORE,2012,0
SINGRAULI,2012,0
TIKAMGARH,2012,0
UMARIYA,2012,0
AHMEDNAGAR,2012,0
AKOLA,2012,0
"AMRAVATI COMMR.",2012,0
"AMRAVATI RURAL",2012,0
"AURANGABAD COMMR.",2012,0
"AURANGABAD RURAL",2012,0
BHANDARA,2012,0
BULDHANA,2012,0
DHULE,2012,0
GADCHIROLI,2012,0
HINGOLI,2012,0
JALGAON,2012,0
JALNA,2012,0
KOLHAPUR,2012,0
LATUR,2012,0
"MUMBAI COMMR.",2012,0
"MUMBAI RLY.",2012,0
"NAGPUR COMMR.",2012,0
"NAGPUR RLY.",2012,0
"NAGPUR RURAL",2012,0
NANDED,2012,0
NANDURBAR,2012,0
"NASIK COMMR.",2012,0
"NASIK RURAL",2012,0
"NAVI MUMBAI",2012,0
"PUNE COMMR.",2012,0
"PUNE RLY.",2012,0
"PUNE RURAL",2012,0
RAIGAD,2012,0
RATNAGIRI,2012,0
SANGLI,2012,0
SATARA,2012,0
SINDHUDURG,2012,0
"SOLAPUR COMMR.",2012,0
"THANE COMMR.",2012,0
BISHNUPUR,2012,0
CHANDEL,2012,0
CHURACHANDPUR,2012,0
CID,2012,0
"IMPHAL EAST",2012,0
"IMPHAL WEST",2012,0
SENAPATI,2012,0
TAMENGLONG,2012,0
THOUBAL,2012,0
UKHRUL,2012,0
TOTAL,2012,0
"GARO HILLS EAST",2012,0
"GARO HILLS SOUTH",2012,0
"GARO HILLS WEST",2012,0
"JAINTIA HILLS",2012,0
"KHASI HILLS EAST",2012,0
"KHASI HILLS WEST",2012,0
RI-BHOI,2012,0
TOTAL,2012,0
AIZAWL,2012,0
CHAMPHAI,2012,0
KOLASIB,2012,0
LAWNGTLAI,2012,0
LUNGLEI,2012,0
MAMIT,2012,0
SAIHA,2012,0
SERCHHIP,2012,0
TOTAL,2012,0
DIMAPUR,2012,0
KIPHIRE,2012,0
KOHIMA,2012,0
LONGLENG,2012,0
MOKOKCHUNG,2012,0
MON,2012,0
PEREN,2012,0
PHEK,2012,0
TUENSANG,2012,0
WOKHA,2012,0
ZUNHEBOTO,2012,0
TOTAL,2012,0
BALASORE,2012,0
BERHAMPUR,2012,0
BHADRAK,2012,0
BOLANGIR,2012,0
BOUDH,2012,0
CUTTACK,2012,0
"DCP BBSR",2012,0
"DCP CTC",2012,0
DEOGARH,2012,0
DHENKANAL,2012,0
GAJAPATI,2012,0
GANJAM,2012,0
JAGATSINGHPUR,2012,0
JAJPUR,2012,0
JHARSUGUDA,2012,0
KALAHANDI,2012,0
KANDHAMAL,2012,0
KENDRAPARA,2012,0
KEONJHAR,2012,0
KHURDA,2012,0
KORAPUT,2012,0
MALKANGIR,2012,0
MAYURBHANJ,2012,0
NAYAGARH,2012,0
NOWRANGPUR,2012,0
NUAPADA,2012,0
PURI,2012,0
RAYAGADA,2012,0
ROURKELA,2012,0
SAMBALPUR,2012,0
SONEPUR,2012,0
SRP(CUTTACK),2012,0
SRP(ROURKELA),2012,0
SUNDARGARH,2012,0
"AMRITSAR RURAL",2012,0
BARNALA,2012,0
BATALA,2012,0
BHATINDA,2012,0
"CP AMRITSAR",2012,0
"CP JALANDHAR",2012,0
"CP LUDHIANA",2012,0
FARIDKOT,2012,0
"FATEHGARH SAHIB",2012,0
FAZILKA,2012,0
FEROZPUR,2012,0
G.R.P,2012,0
GURDASPUR,2012,0
HOSHIARPUR,2012,0
"JALANDHAR RURAL",2012,0
KAPURTHALA,2012,0
KHANNA,2012,0
"LUDHIANA RURAL",2012,0
MANSA,2012,0
MOGA,2012,0
MUKTSAR,2012,0
PATHANKOT,2012,0
PATIALA,2012,0
ROPAR,2012,0
SANGRUR,2012,0
"SAS NGR",2012,0
"SBS NAGAR",2012,0
"TARN TARAN",2012,0
TOTAL,2012,0
AJMER,2012,0
BANSWARA,2012,0
BARAN,2012,0
BARMER,2012,0
BHARATPUR,2012,0
BHILWARA,2012,0
BIKANER,2012,0
CHITTORGARH,2012,0
CHURU,2012,0
DHOLPUR,2012,0
DUNGARPUR,2012,0
G.R.P.AJMER,2012,0
G.R.P.JODHPUR,2012,0
GANGANAGAR,2012,0
HANUMANGARH,2012,0
"JAIPUR EAST",2012,0
"JAIPUR NORTH",2012,0
"JAIPUR WEST",2012,0
JAISALMER,2012,0
JALORE,2012,0
JHALAWAR,2012,0
JHUNJHUNU,2012,0
"JODHPUR EAST",2012,0
"JODHPUR WEST",2012,0
"KOTA CITY",2012,0
NAGAUR,2012,0
PRATAPGARH,2012,0
RAJSAMAND,2012,0
"SAWAI MADHOPUR",2012,0
SIKAR,2012,0
UDAIPUR,2012,0
EAST,2012,0
NORTH,2012,0
SOUTH,2012,0
WEST,2012,0
TOTAL,2012,0
ARIYALUR,2012,0
CHENNAI,2012,0
"CHENNAI RLY.",2012,0
"COIMBATORE RURAL",2012,0
"COIMBATORE URBAN",2012,0
CUDDALORE,2012,0
DINDIGUL,2012,0
ERODE,2012,0
KANCHIPURAM,2012,0
KANYAKUMARI,2012,0
KARUR,2012,0
KRISHNAGIRI,2012,0
"MADURAI RURAL",2012,0
"MADURAI URBAN",2012,0
NAGAPATTINAM,2012,0
NAMAKKAL,2012,0
NILGIRIS,2012,0
PERAMBALUR,2012,0
PUDUKOTTAI,2012,0
RAMNATHAPURAM,2012,0
"SALEM RURAL",2012,0
"SALEM URBAN",2012,0
SIVAGANGAI,2012,0
THANJAVUR,2012,0
THENI,2012,0
"THIRUNELVELI RURAL",2012,0
"THIRUNELVELI URBAN",2012,0
THIRUVALLUR,2012,0
THIRUVANNAMALAI,2012,0
THIRUVARUR,2012,0
THOOTHUGUDI,2012,0
TIRUPPUR,2012,0
"TRICHY RLY.",2012,0
"TRICHY RURAL",2012,0
"TRICHY URBAN",2012,0
VELLORE,2012,0
VILLUPURAM,2012,0
VIRUDHUNAGAR,2012,0
DHALAI,2012,0
GOMATI,2012,0
GRP,2012,0
KHOWAI,2012,0
NORTH,2012,0
SIPAHIJALA,2012,0
SOUTH,2012,0
UNAKOTI,2012,0
WEST,2012,0
TOTAL,2012,0
AGRA,2012,0
ALIGARH,2012,0
ALLAHABAD,2012,0
"AMBEDKAR NAGAR",2012,0
AURAIYA,2012,0
AZAMGARH,2012,0
BADAUN,2012,0
BAGHPAT,2012,0
BAHRAICH,2012,0
BALLIA,2012,0
BALRAMPUR,2012,0
BANDA,2012,0
BARABANKI,2012,0
BAREILLY,2012,0
BASTI,2012,0
"BHIM NAGAR",2012,0
BIJNOR,2012,0
BULANDSHAHAR,2012,0
CHANDOLI,2012,0
"CHITRAKOOT DHAM",2012,0
"CSM NAGAR",2012,0
DEORIA,2012,0
ETAH,2012,0
ETAWAH,2012,0
FAIZABAD,2012,0
FATEHGARH,2012,0
FATEHPUR,2012,0
FIROZABAD,2012,0
G.R.P.,2012,0
"GAUTAMBUDH NAGAR",2012,0
GHAZIABAD,2012,0
GHAZIPUR,2012,0
GONDA,2012,0
GORAKHPUR,2012,0
HAMIRPUR,2012,0
HARDOI,2012,0
HATHRAS,2012,0
J.P.NAGAR,2012,0
JALAUN,2012,0
JAUNPUR,2012,0
JHANSI,2012,0
KANNAUJ,2012,0
"KANPUR NAGAR",2012,0
"KANSHIRAM NAGAR",2012,0
KAUSHAMBI,2012,0
KHIRI,2012,0
"KUSHI NAGAR",2012,0
LALITPUR,2012,0
LUCKNOW,2012,0
MAHARAJGANJ,2012,0
MAHOBA,2012,0
MAINPURI,2012,0
MATHURA,2012,0
MAU,2012,0
MEERUT,2012,0
MIRZAPUR,2012,0
MORADABAD,2012,0
MUZAFFARNAGAR,2012,0
"PANCHSHIL NAGAR",2012,0
PILIBHIT,2012,0
"PRABUDDH NAGAR",2012,0
PRATAPGARH,2012,0
RAIBAREILLY,2012,0
"RAMABAI NAGAR",2012,0
RAMPUR,2012,0
SAHARANPUR,2012,0
"SANT KABIRNAGAR",2012,0
SHAHJAHANPUR,2012,0
SHRAWASTI,2012,0
SIDHARTHNAGAR,2012,0
SITAPUR,2012,0
SONBHADRA,2012,0
ST.RAVIDASNAGAR,2012,0
SULTANPUR,2012,0
UNNAO,2012,0
VARANASI,2012,0
TOTAL,2012,0
ALMORA,2012,0
BAGESHWAR,2012,0
CHAMOLI,2012,0
CHAMPAWAT,2012,0
DEHRADUN,2012,0
HARIDWAR,2012,0
NAINITAL,2012,0
"PAURI GARHWAL",2012,0
PITHORAGARH,2012,0
"RUDRA PRAYAG",2012,0
"TEHRI GARHWAL",2012,0
"UDHAMSINGH NAGAR",2012,0
UTTARKASHI,2012,0
TOTAL,2012,0
"24 PARGANAS NORTH",2012,0
"24 PARGANAS SOUTH",2012,0
ASANSOL,2012,0
BANKURA,2012,0
"BDN CP",2012,0
"BKP CP",2012,0
BURDWAN,2012,0
COOCHBEHAR,2012,0
"DAKSHIN DINAJPUR",2012,0
DARJEELING,2012,0
HOOGHLY,2012,0
HOWRAH,2012,0
"HOWRAH CITY",2012,0
"HOWRAH G.R.P.",2012,0
JALPAIGURI,2012,0
JHARGRAM,2012,0
"KHARAGPUR G.R.P.",2012,0
KOLKATA,2012,0
MALDA,2012,0
MURSHIDABAD,2012,0
NADIA,2012,0
"PASCHIM MIDNAPUR",2012,0
"PURAB MIDNAPUR",2012,0
PURULIA,2012,0
"SEALDAH G.R.P.",2012,0
"SILIGURI G.R.P.",2012,0
SILIGURI_PC,2012,0
"UTTAR DINAJPUR",2012,0
CAR,2012,0
NORTH,2012,0
SOUTH,2012,0
TOTAL,2012,0
CHANDIGARH,2012,0
TOTAL,2012,0
"D and N HAVELI",2012,0
TOTAL,2012,0
DAMAN,2012,0
DIU,2012,0
TOTAL,2012,0
CAW,2012,0
CENTRAL,2012,0
"CRIME BRANCH",2012,0
EAST,2012,0
EOW,2012,0
GRP(RLY),2012,0
"IGI AIRPORT",2012,0
"NEW DELHI",2012,0
NORTH,2012,0
NORTH-EAST,2012,0
NORTH-WEST,2012,0
OUTER,2012,0
SOUTH,2012,0
SOUTH-EAST,2012,0
SOUTH-WEST,2012,0
STF,2012,0
WEST,2012,0
TOTAL,2012,0
LAKSHADWEEP,2012,0
TOTAL,2012,0
KARAIKAL,2012,0
PUDUCHERRY,2012,0
TOTAL,2012,0
ADILABAD,2001,0
ANANTAPUR,2001,0
CHITTOOR,2001,0
CUDDAPAH,2001,0
"EAST GODAVARI",2001,0
"GUNTAKAL RLY.",2001,0
GUNTUR,2001,0
"HYDERABAD CITY",2001,0
KARIMNAGAR,2001,0
KRISHNA,2001,0
KURNOOL,2001,0
MEDAK,2001,0
NIZAMABAD,2001,0
PRAKASHAM,2001,0
"RANGA REDDY",2001,0
"SECUNDERABAD RLY.",2001,0
SRIKAKULAM,2001,0
VIJAYAWADA,2001,0
"VIJAYAWADA RLY.",2001,0
"VISAKHA RURAL",2001,0
VISAKHAPATNAM,2001,0
VIZIANAGARAM,2001,0
WARANGAL,2001,0
"WEST GODAVARI",2001,0
CHANGLANG,2001,0
"DIBANG VALLEY",2001,0
"KAMENG EAST",2001,0
"KAMENG WEST",2001,0
"SIANG UPPER",2001,0
"SIANG WEST",2001,0
"SUBANSIRI LOWER",2001,0
"SUBANSIRI UPPER",2001,0
TAWANG,2001,0
TIRAP,2001,0
BARPETA,2001,0
BONGAIGAON,2001,0
C.I.D.,2001,0
CACHAR,2001,0
DARRANG,2001,0
DHEMAJI,2001,0
DHUBRI,2001,0
DIBRUGARH,2001,0
G.R.P.,2001,0
GOALPARA,2001,0
GOLAGHAT,2001,0
"GUWAHATI CITY",2001,0
HAILAKANDI,2001,0
JORHAT,2001,0
KAMRUP,2001,0
"KARBI ANGLONG",2001,0
KARIMGANJ,2001,0
KOKRAJHAR,2001,0
LAKHIMPUR,2001,0
MORIGAON,2001,0
"N.C. HILLS",2001,0
NAGAON,2001,0
NALBARI,2001,0
R.P.O.,2001,0
SIBSAGAR,2001,0
SONITPUR,2001,0
TINSUKIA,2001,0
ARWAL,2001,0
AURANGABAD,2001,0
BAGAHA,2001,0
BANKA,2001,0
BEGUSARAI,2001,0
BETTIAH,2001,0
BHABHUA,2001,0
BHAGALPUR,2001,0
BHOJPUR,2001,0
BUXAR,2001,0
DARBHANGA,2001,0
GAYA,2001,0
GOPALGANJ,2001,0
"JAMALPUR RLY.",2001,0
JAMUI,2001,0
JEHANABAD,2001,0
KATIHAR,2001,0
"KATIHAR RLY.",2001,0
KHAGARIA,2001,0
KISHANGANJ,2001,0
LAKHISARAI,2001,0
MADHEPURA,2001,0
MADHUBANI,2001,0
MOTIHARI,2001,0
MUNGER,2001,0
MUZAFFARPUR,2001,0
"MUZAFFARPUR RLY.",2001,0
NALANDA,2001,0
NAUGACHIA,2001,0
NAWADAH,2001,0
PATNA,2001,0
"PATNA RLY.",2001,0
PURNEA,2001,0
ROHTAS,2001,0
SAHARSA,2001,0
SAMASTIPUR,2001,0
SARAN,2001,0
SHEIKHPURA,2001,0
SHEOHAR,2001,0
SITAMARHI,2001,0
SIWAN,2001,0
SUPAUL,2001,0
VAISHALI,2001,0
BALRAMPUR,2001,0
BIZAPUR,2001,0
DANTEWARA,2001,0
DHAMTARI,2001,0
DURG,2001,0
"GRP RAIPUR",2001,0
JASHPUR,2001,0
KORIYA,2001,0
MAHASAMUND,2001,0
RAIGARH,2001,0
RAIPUR,2001,0
RAJNANDGAON,2001,0
"NORTH GOA",2001,0
"SOUTH GOA",2001,0
"AHMEDABAD COMMR.",2001,0
"AHMEDABAD RURAL",2001,0
AHWA-DANG,2001,0
AMRELI,2001,0
ANAND,2001,0
BHARUCH,2001,0
BHAVNAGAR,2001,0
DAHOD,2001,0
GANDHINAGAR,2001,0
HIMATNAGAR,2001,0
JAMNAGAR,2001,0
JUNAGADH,2001,0
"KHEDA NORTH",2001,0
KUTCH,2001,0
MEHSANA,2001,0
NARMADA,2001,0
NAVSARI,2001,0
PATAN,2001,0
PORBANDAR,2001,0
"RAJKOT COMMR.",2001,0
"RAJKOT RURAL",2001,0
"SURAT COMMR.",2001,0
SURENDRANAGAR,2001,0
VALSAD,2001,0
W.RLY,2001,0
AMBALA,2001,0
BHIWANI,2001,0
FARIDABAD,2001,0
FATEHABAD,2001,0
GRP,2001,0
GURGAON,2001,0
HISAR,2001,0
JHAJJAR,2001,0
JIND,2001,0
KAITHAL,2001,0
KARNAL,2001,0
KURUKSHETRA,2001,0
MAHENDERGARH,2001,0
PANCHKULA,2001,0
PANIPAT,2001,0
REWARI,2001,0
ROHTAK,2001,0
SIRSA,2001,0
SONIPAT,2001,0
YAMUNANAGAR,2001,0
BILASPUR,2001,0
CHAMBA,2001,0
G.R.P.,2001,0
HAMIRPUR,2001,0
KANGRA,2001,0
KINNAUR,2001,0
KULLU,2001,0
LAHAUL-SPITI,2001,0
MANDI,2001,0
SHIMLA,2001,0
SIRMAUR,2001,0
SOLAN,2001,0
UNA,2001,0
ANANTNAG,2001,0
ANANTNAG,2001,0
AWANTIPORA,2001,0
BARAMULLA,2001,0
BORDER,2001,0
BUDGAM,2001,0
"CRIME JAMMU",2001,0
"CRIME SRINAGAR",2001,0
DODA,2001,0
GANDERBAL,2001,0
JAMMU,2001,0
KARGIL,2001,0
KATHUA,2001,0
KULGAM,2001,0
KUPWARA,2001,0
LEH,2001,0
POONCH,2001,0
PULWAMA,2001,0
RAILWAYS,2001,0
RAJOURI,2001,0
RAMBAN,2001,0
REASI,2001,0
SRINAGAR,2001,0
UDHAMPUR,2001,0
