district,murder,year
AMRITSAR,0,2001
BARNALA,0,2001
BATALA,0,2001
BHATINDA,0,2001
FARIDKOT,0,2001
"FATEHGARH SAHIB",0,2001
FEROZEPUR,0,2001
G.R.P,0,2001
GURDASPUR,0,2001
HOSHIARPUR,0,2001
JAGRAON,0,2001
JALANDHAR,0,2001
KAPURTHALA,0,2001
KHANNA,0,2001
LUDHIANA,0,2001
MAJITHA,0,2001
MANSA,0,2001
MOGA,0,2001
MUKTSAR,0,2001
"NAWAN SHAHR",0,2001
PATIALA,0,2001
ROPAR,0,2001
SANGRUR,0,2001
"TARN TARAN",0,2001
AJMER,0,2001
ALWAR,0,2001
BANSWARA,0,2001
BARMER,0,2001
BHARATPUR,0,2001
BHILWARA,0,2001
BIKANER,0,2001
BUNDI,0,2001
CHITTORGARH,0,2001
CHURU,0,2001
DUNGARPUR,0,2001
G.R.P.,0,2001
GANGANAGAR,0,2001
HANUMANGARH,0,2001
JAISALMER,0,2001
JALORE,0,2001
JODHPUR,0,2001
KARAULI,0,2001
NAGAUR,0,2001
RAJSAMAND,0,2001
"SAWAI MADHOPUR",0,2001
SIKAR,0,2001
TONK,0,2001
NORTH,0,2001
WEST,0,2001
ARIYALUR,0,2001
CHENGAI,0,2001
CHENNAI,0,2001
"CHENNAI RLY.",0,2001
"COIMBATORE RURAL",0,2001
"COIMBATORE URBAN",0,2001
CUDDALORE,0,2001
DHARMAPURI,0,2001
DINDIGUL,0,2001
ERODE,0,2001
KANCHIPURAM,0,2001
KANYAKUMARI,0,2001
KARUR,0,2001
"MADURAI RURAL",0,2001
"MADURAI URBAN",0,2001
NAGAPATTINAM,0,2001
NAMAKKAL,0,2001
NILGIRIS,0,2001
PERAMBALUR,0,2001
PUDUKOTTAI,0,2001
RAMNATHAPURAM,0,2001
"SALEM RURAL",0,2001
"SALEM URBAN",0,2001
SIVAGANGAI,0,2001
THANJAVUR,0,2001
THENI,0,2001
"THIRUNELVELI RURAL",0,2001
"THIRUNELVELI URBAN",0,2001
THIRUVALLUR,0,2001
THIRUVANNAMALAI,0,2001
THIRUVARUR,0,2001
THOOTHUGUDI,0,2001
"TRICHY RLY.",0,2001
"TRICHY RURAL",0,2001
"TRICHY URBAN",0,2001
VELLORE,0,2001
VILLUPURAM,0,2001
VIRUDHUNAGAR,0,2001
DHALAI,0,2001
NORTH,0,2001
SOUTH,0,2001
WEST,0,2001
AGRA,0,2001
ALLAHABAD,0,2001
"AMBEDKAR NAGAR",0,2001
AURAIYA,0,2001
AZAMGARH,0,2001
BADAUN,0,2001
BAGHPAT,0,2001
BAHRAICH,0,2001
BALLIA,0,2001
BALRAMPUR,0,2001
BANDA,0,2001
BARABANKI,0,2001
BAREILLY,0,2001
BASTI,0,2001
BIJNOR,0,2001
BULANDSHAHAR,0,2001
CHANDOLI,0,2001
"CHITRAKOOT DHAM",0,2001
DEORIA,0,2001
ETAH,0,2001
ETAWAH,0,2001
FAIZABAD,0,2001
FATEHGARH,0,2001
FATEHPUR,0,2001
FIROZABAD,0,2001
G.R.P.,0,2001
"GAUTAMBUDH NAGAR",0,2001
GHAZIABAD,0,2001
GHAZIPUR,0,2001
GONDA,0,2001
GORAKHPUR,0,2001
HAMIRPUR,0,2001
HARDOI,0,2001
HATHRAS,0,2001
J.P.NAGAR,0,2001
JALAUN,0,2001
JAUNPUR,0,2001
JHANSI,0,2001
KANNAUJ,0,2001
"KANPUR DEHAT",0,2001
"KANPUR NAGAR",0,2001
KAUSHAMBI,0,2001
KHIRI,0,2001
"KUSHI NAGAR",0,2001
LALITPUR,0,2001
LUCKNOW,0,2001
MAHARAJGANJ,0,2001
MAHOBA,0,2001
MAINPURI,0,2001
MATHURA,0,2001
MAU,0,2001
MEERUT,0,2001
MIRZAPUR,0,2001
MUZAFFARNAGAR,0,2001
PILIBHIT,0,2001
PRATAPGARH,0,2001
RAIBAREILLY,0,2001
RAMPUR,0,2001
SAHARANPUR,0,2001
"SANT KABIRNAGAR",0,2001
SHAHJAHANPUR,0,2001
SHRAWASTI,0,2001
SIDHARTHNAGAR,0,2001
SITAPUR,0,2001
SONBHADRA,0,2001
ST.RAVIDASNAGAR,0,2001
SULTANPUR,0,2001
UNNAO,0,2001
VARANASI,0,2001
ALMORA,0,2001
BAGESHWAR,0,2001
CHAMOLI,0,2001
CHAMPAWAT,0,2001
DEHRADUN,0,2001
HARIDWAR,0,2001
NAINITAL,0,2001
"PAURI GARHWAL",0,2001
PITHORAGARH,0,2001
"RUDRA PRAYAG",0,2001
"TEHRI GARHWAL",0,2001
UTTARKASHI,0,2001
"24 PARGANAS NORTH",0,2001
"24 PARGANAS SOUTH",0,2001
ASANSOL,0,2001
BANKURA,0,2001
BIRBHUM,0,2001
BURDWAN,0,2001
COOCHBEHAR,0,2001
"DAKSHIN DINAJPUR",0,2001
DARJEELING,0,2001
HOOGHLY,0,2001
HOWRAH,0,2001
"HOWRAH CITY",0,2001
"HOWRAH G.R.P.",0,2001
JALPAIGURI,0,2001
KOLKATA,0,2001
MALDA,0,2001
MIDNAPUR,0,2001
MURSHIDABAD,0,2001
NADIA,0,2001
PURULIA,0,2001
"SEALDAH G.R.P.",0,2001
"SILIGURI G.R.P.",0,2001
"UTTAR DINAJPUR",0,2001
ANDAMAN,0,2001
NICOBAR,0,2001
CHANDIGARH,0,2001
"D and N HAVELI",0,2001
DAMAN,0,2001
DIU,0,2001
CENTRAL,0,2001
EAST,0,2001
G.R.P.(RLY),0,2001
I.G.I.AIRPORT,0,2001
"NEW DELHI",0,2001
NORTH,0,2001
"NORTH EAST",0,2001
"NORTH WEST",0,2001
S.T.F.,0,2001
SOUTH,0,2001
"SOUTH WEST",0,2001
WEST,0,2001
LAKSHADWEEP,0,2001
PONDICHERRY,0,2001
ADILABAD,0,2002
ANANTAPUR,0,2002
CHITTOOR,0,2002
CUDDAPAH,0,2002
"EAST GODAVARI",0,2002
"GUNTAKAL RLY.",0,2002
GUNTUR,0,2002
"HYDERABAD CITY",0,2002
KHAMMAM,0,2002
KRISHNA,0,2002
KURNOOL,0,2002
MEDAK,0,2002
NALGONDA,0,2002
NELLORE,0,2002
NIZAMABAD,0,2002
PRAKASHAM,0,2002
"RANGA REDDY",0,2002
"SECUNDERABAD RLY.",0,2002
SRIKAKULAM,0,2002
VIJAYAWADA,0,2002
"VIJAYAWADA RLY.",0,2002
"VISAKHA RURAL",0,2002
VISAKHAPATNAM,0,2002
VIZIANAGARAM,0,2002
WARANGAL,0,2002
"WEST GODAVARI",0,2002
"DIBANG VALLEY",0,2002
"KAMENG EAST",0,2002
"KAMENG WEST",0,2002
LOHIT,0,2002
"SIANG EAST",0,2002
"SIANG UPPER",0,2002
"SIANG WEST",0,2002
"SUBANSIRI LOWER",0,2002
"SUBANSIRI UPPER",0,2002
TAWANG,0,2002
TIRAP,0,2002
BARPETA,0,2002
BONGAIGAON,0,2002
C.I.D.,0,2002
CACHAR,0,2002
DARRANG,0,2002
DHEMAJI,0,2002
DHUBRI,0,2002
DIBRUGARH,0,2002
G.R.P.,0,2002
GOALPARA,0,2002
"GUWAHATI CITY",0,2002
HAILAKANDI,0,2002
JORHAT,0,2002
KAMRUP,0,2002
"KARBI ANGLONG",0,2002
KARIMGANJ,0,2002
KOKRAJHAR,0,2002
LAKHIMPUR,0,2002
MORIGAON,0,2002
NAGAON,0,2002
NALBARI,0,2002
R.P.O.,0,2002
SIBSAGAR,0,2002
SONITPUR,0,2002
TINSUKIA,0,2002
ARWAL,0,2002
AURANGABAD,0,2002
BAGAHA,0,2002
BANKA,0,2002
BEGUSARAI,0,2002
BETTIAH,0,2002
BHABHUA,0,2002
BHAGALPUR,0,2002
BHOJPUR,0,2002
BUXAR,0,2002
DARBHANGA,0,2002
GAYA,0,2002
GOPALGANJ,0,2002
"JAMALPUR RLY.",0,2002
JAMUI,0,2002
KATIHAR,0,2002
"KATIHAR RLY.",0,2002
KHAGARIA,0,2002
KISHANGANJ,0,2002
LAKHISARAI,0,2002
MADHEPURA,0,2002
MADHUBANI,0,2002
MOTIHARI,0,2002
MUNGER,0,2002
MUZAFFARPUR,0,2002
"MUZAFFARPUR RLY.",0,2002
NALANDA,0,2002
NAUGACHIA,0,2002
NAWADAH,0,2002
PATNA,0,2002
"PATNA RLY.",0,2002
PURNEA,0,2002
ROHTAS,0,2002
SAHARSA,0,2002
SAMASTIPUR,0,2002
SARAN,0,2002
SHEIKHPURA,0,2002
SHEOHAR,0,2002
SITAMARHI,0,2002
SIWAN,0,2002
SUPAUL,0,2002
VAISHALI,0,2002
BALRAMPUR,0,2002
BIZAPUR,0,2002
DANTEWARA,0,2002
DHAMTARI,0,2002
"GRP RAIPUR",0,2002
JASHPUR,0,2002
KABIRDHAM,0,2002
MAHASAMUND,0,2002
RAIGARH,0,2002
RAIPUR,0,2002
RAJNANDGAON,0,2002
SARGUJA,0,2002
"NORTH GOA",0,2002
"SOUTH GOA",0,2002
"AHMEDABAD RURAL",0,2002
AHWA-DANG,0,2002
AMRELI,0,2002
ANAND,0,2002
BHARUCH,0,2002
BHAVNAGAR,0,2002
DAHOD,0,2002
GANDHINAGAR,0,2002
HIMATNAGAR,0,2002
JAMNAGAR,0,2002
JUNAGADH,0,2002
"KHEDA NORTH",0,2002
MEHSANA,0,2002
NARMADA,0,2002
NAVSARI,0,2002
PATAN,0,2002
PORBANDAR,0,2002
"RAJKOT COMMR.",0,2002
"RAJKOT RURAL",0,2002
"SURAT COMMR.",0,2002
"VADODARA COMMR.",0,2002
W.RLY,0,2002
AMBALA,0,2002
BHIWANI,0,2002
FARIDABAD,0,2002
FATEHABAD,0,2002
GRP,0,2002
GURGAON,0,2002
HISSAR,0,2002
JHAJJAR,0,2002
JIND,0,2002
KAITHAL,0,2002
KARNAL,0,2002
KURUKSHETRA,0,2002
MAHENDRAGARH,0,2002
PANCHKULA,0,2002
PANIPAT,0,2002
REWARI,0,2002
ROHTAK,0,2002
SIRSA,0,2002
SONIPAT,0,2002
YAMUNANAGAR,0,2002
BILASPUR,0,2002
CHAMBA,0,2002
G.R.P.,0,2002
HAMIRPUR,0,2002
KANGRA,0,2002
KINNAUR,0,2002
KULLU,0,2002
LAHAUL-SPITI,0,2002
MANDI,0,2002
SHIMLA,0,2002
SIRMAUR,0,2002
SOLAN,0,2002
UNA,0,2002
ANANTNAG,0,2002
AWANTIPORA,0,2002
BARAMULLA,0,2002
BORDER,0,2002
BUDGAM,0,2002
"CRIME JAMMU",0,2002
"CRIME SRINAGAR",0,2002
DODA,0,2002
GANDERBAL,0,2002
HANDWARA,0,2002
JAMMU,0,2002
KARGIL,0,2002
KATHUA,0,2002
KULGAM,0,2002
KUPWARA,0,2002
LEH,0,2002
POONCH,0,2002
PULWAMA,0,2002
RAILWAYS,0,2002
RAJOURI,0,2002
RAMBAN,0,2002
REASI,0,2002
SRINAGAR,0,2002
UDHAMPUR,0,2002
BOKARO,0,2002
CHAIBASA,0,2002
DEOGHAR,0,2002
"DHANBAD RLY.",0,2002
GODDA,0,2002
HAZARIBAGH,0,2002
"JAMSHEDPUR RLY.",0,2002
KODERMA,0,2002
LATEHAR,0,2002
LOHARDAGGA,0,2002
PAKUR,0,2002
SARAIKELA,0,2002
SIMDEGA,0,2002
"BANGALORE COMMR.",0,2002
"BANGALORE RURAL",0,2002
BELGAUM,0,2002
BELLARY,0,2002
BIDAR,0,2002
BIJAPUR,0,2002
CHAMARAJNAGAR,0,2002
"DAKSHIN KANNADA",0,2002
DAVANAGERE,0,2002
"DHARWAD COMMR.",0,2002
"DHARWAD RURAL",0,2002
GADAG,0,2002
HASSAN,0,2002
HAVERI,0,2002
K.G.F.,0,2002
KODAGU,0,2002
KOLAR,0,2002
KOPPAL,0,2002
MANDYA,0,2002
"MYSORE COMMR.",0,2002
"MYSORE RURAL",0,2002
RAILWAYS,0,2002
SHIMOGA,0,2002
TUMKUR,0,2002
UDUPI,0,2002
"UTTAR KANNADA",0,2002
ALAPUZHA,0,2002
CBCID,0,2002
ERNAKULAM,0,2002
IDUKKI,0,2002
KANNUR,0,2002
KASARGOD,0,2002
KOLLAM,0,2002
KOTTAYAM,0,2002
KOZHIKODE,0,2002
MALAPPURAM,0,2002
PATHANAMTHITTA,0,2002
RAILWAYS,0,2002
THRISSUR,0,2002
TRIVANDRUM,0,2002
WAYANADU,0,2002
BARWANI,0,2002
BHOPAL,0,2002
"BHOPAL RLY.",0,2002
CHHATARPUR,0,2002
CHHINDWARA,0,2002
DATIYA,0,2002
DHAR,0,2002
GUNA,0,2002
HOSHANGABAD,0,2002
"INDORE RLY.",0,2002
"JABALPUR RLY.",0,2002
KHANDWA,0,2002
MANDSAUR,0,2002
MORENA,0,2002
RAISEN,0,2002
SHEOPUR,0,2002
SIHORE,0,2002
UMARIYA,0,2002
VIDISHA,0,2002
AHMEDNAGAR,0,2002
AKOLA,0,2002
"AMRAVATI COMMR.",0,2002
"AMRAVATI RURAL",0,2002
"AURANGABAD COMMR.",0,2002
"AURANGABAD RURAL",0,2002
BEED,0,2002
BHANDARA,0,2002
BULDHANA,0,2002
CHANDRAPUR,0,2002
GADCHIROLI,0,2002
GONDIA,0,2002
HINGOLI,0,2002
JALGAON,0,2002
JALNA,0,2002
KOLHAPUR,0,2002
LATUR,0,2002
MUMBAI,0,2002
"MUMBAI RLY.",0,2002
"NAGPUR COMMR.",0,2002
"NAGPUR RLY.",0,2002
"NAGPUR RURAL",0,2002
NANDED,0,2002
"NASIK COMMR.",0,2002
"NAVI MUMBAI",0,2002
OSMANABAD,0,2002
PARBHANI,0,2002
"PUNE COMMR.",0,2002
"PUNE RLY.",0,2002
"PUNE RURAL",0,2002
RATNAGIRI,0,2002
SANGLI,0,2002
SATARA,0,2002
SINDHUDURG,0,2002
"SOLAPUR COMMR.",0,2002
"SOLAPUR RURAL",0,2002
"THANE COMMR.",0,2002
WARDHA,0,2002
WASHIM,0,2002
BISHNUPUR,0,2002
CHANDEL,0,2002
CHURACHANDPUR,0,2002
IMPHAL(EAST),0,2002
IMPHAL(WEST),0,2002
SENAPATI,0,2002
TAMENGLONG,0,2002
THOUBAL,0,2002
UKHRUL,0,2002
"GARO HILLS EAST",0,2002
"GARO HILLS SOUTH",0,2002
"GARO HILLS WEST",0,2002
"JAINTIA HILLS",0,2002
"KHASI HILLS EAST",0,2002
"KHASI HILLS WEST",0,2002
RI-BHOI,0,2002
AIZAWL,0,2002
CHAMPHAI,0,2002
LAWNGTLAI,0,2002
LUNGLEI,0,2002
MAMIT,0,2002
SAIHA,0,2002
SERCHHIP,0,2002
DIMAPUR,0,2002
KIPHIRE,0,2002
MOKOKCHUNG,0,2002
MON,0,2002
PEREN,0,2002
TUENSANG,0,2002
ANGUL,0,2002
BALASORE,0,2002
BARAGARH,0,2002
BERHAMPUR,0,2002
BHADRAK,0,2002
BOLANGIR,0,2002
BOUDH,0,2002
CUTTACK,0,2002
DEOGARH,0,2002
DHENKANAL,0,2002
GAJAPATI,0,2002
GANJAM,0,2002
JAGATSINGHPUR,0,2002
JAJPUR,0,2002
JHARSUGUDA,0,2002
KALAHANDI,0,2002
KANDHAMAL,0,2002
KENDRAPARA,0,2002
KHURDA,0,2002
NAYAGARH,0,2002
PURI,0,2002
RAYAGADA,0,2002
ROURKELA,0,2002
SAMBALPUR,0,2002
SONEPUR,0,2002
SRP(CUTTACK),0,2002
SRP(ROURKELA),0,2002
SUNDARGARH,0,2002
AMRITSAR,0,2002
BARNALA,0,2002
BATALA,0,2002
BHATINDA,0,2002
FARIDKOT,0,2002
"FATEHGARH SAHIB",0,2002
FEROZEPUR,0,2002
G.R.P,0,2002
GURDASPUR,0,2002
HOSHIARPUR,0,2002
JAGRAON,0,2002
JALANDHAR,0,2002
KAPURTHALA,0,2002
KHANNA,0,2002
LUDHIANA,0,2002
MAJITHA,0,2002
MANSA,0,2002
MOGA,0,2002
MUKTSAR,0,2002
"NAWAN SHAHR",0,2002
PATIALA,0,2002
ROPAR,0,2002
SANGRUR,0,2002
"TARN TARAN",0,2002
AJMER,0,2002
ALWAR,0,2002
BARMER,0,2002
BHARATPUR,0,2002
BHILWARA,0,2002
BIKANER,0,2002
BUNDI,0,2002
CHITTORGARH,0,2002
CHURU,0,2002
DAUSA,0,2002
DHOLPUR,0,2002
DUNGARPUR,0,2002
G.R.P.,0,2002
GANGANAGAR,0,2002
HANUMANGARH,0,2002
JAISALMER,0,2002
JODHPUR,0,2002
KARAULI,0,2002
PALI,0,2002
RAJSAMAND,0,2002
"SAWAI MADHOPUR",0,2002
SIKAR,0,2002
SIROHI,0,2002
UDAIPUR,0,2002
EAST,0,2002
NORTH,0,2002
SOUTH,0,2002
WEST,0,2002
CHENGAI,0,2002
CHENNAI,0,2002
"CHENNAI RLY.",0,2002
"COIMBATORE RURAL",0,2002
"COIMBATORE URBAN",0,2002
CUDDALORE,0,2002
DHARMAPURI,0,2002
DINDIGUL,0,2002
ERODE,0,2002
KANCHIPURAM,0,2002
KANYAKUMARI,0,2002
KARUR,0,2002
"MADURAI RURAL",0,2002
"MADURAI URBAN",0,2002
NAGAPATTINAM,0,2002
NAMAKKAL,0,2002
NILGIRIS,0,2002
PERAMBALUR,0,2002
PUDUKOTTAI,0,2002
RAMNATHAPURAM,0,2002
"SALEM RURAL",0,2002
"SALEM URBAN",0,2002
SIVAGANGAI,0,2002
THANJAVUR,0,2002
THENI,0,2002
"THIRUNELVELI RURAL",0,2002
"THIRUNELVELI URBAN",0,2002
